API,latitude,longitude,Operator,County,Municipality,Marcellus,Insp Id,Viol Id,Enf Id,Date Inspected,Date Violation,Violation Code,Violation Desc,Envl Health Safety Desc,Insp Comment,Violation Comment,Date Resolved
003-00880,40.32813692,-80.06689853,STORM KING ENERGY LLC,Allegheny,Upper Saint Clair,N,1668930,528629,248037,11/30/2007,11/30/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well not in production,,2/5/2010
003-00880,40.32813692,-80.06689853,STORM KING ENERGY LLC,Allegheny,Upper Saint Clair,N,1668930,528630,228380,11/30/2007,11/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well not in production,,2/5/2010
003-00880,40.32813692,-80.06689853,STORM KING ENERGY LLC,Allegheny,Upper Saint Clair,N,1668930,528629,254935,11/30/2007,11/30/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well not in production,,2/5/2010
003-00880,40.32813692,-80.06689853,STORM KING ENERGY LLC,Allegheny,Upper Saint Clair,N,1668930,528629,228380,11/30/2007,11/30/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well not in production,,2/5/2010
003-00880,40.32813692,-80.06689853,STORM KING ENERGY LLC,Allegheny,Upper Saint Clair,N,1668930,528630,254935,11/30/2007,11/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well not in production,,2/5/2010
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510762,221776,2/16/2007,2/16/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510761,228520,2/16/2007,2/16/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510763,221776,2/16/2007,2/16/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510762,228520,2/16/2007,2/16/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510761,221776,2/16/2007,2/16/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01166,,,RWF OIL INC,Allegheny,Robinson,N,1609721,510760,221776,2/16/2007,2/16/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01167,,,RWF OIL INC,Allegheny,Robinson,N,1609976,510859,221788,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,"cannot locate, no production report",,8/1/2007
